iter	Passed	Remaining
972	81849	2271
973	81905	2186
974	81952	2101
975	82008	2016
976	82057	1931
977	82118	1847
978	82330	1766
979	82413	1681
980	82466	1597
981	82511	1512
982	82571	1427
983	82634	1343
984	82698	1259
985	82796	1175
986	82978	1092
987	83055	1008
988	83122	924
989	83181	840
990	83229	755
991	83275	671
992	83323	587
993	83374	503
994	83476	419
995	83639	335
996	83699	251
997	83754	167
998	83852	83
999	83934	0
